 DATASET SUMMARY,,,,,,,
,,,,,,,
Dataset,Rows,Raw Predictors,Numeric,Categorical,Missing %,Target and Unit,Coverage
Dataset B (Ames Housing),1460,79,36,43,5.86%,SalePrice (Absolute USD),Ames Iowa Residential Property Sales
,,,,,,,
,,,,,,,
DATA-QUALITY DECISIONS,,,,,,,
,,,,,,,
Issue,Evidence,Decision,Reason,Effect on Matrix Shape,,,
Missing Values,Null entries observed in continuous/nominal matrices,Mixed Pipeline Median & Mode Imputation,Prevents matrix factorization breakdowns during model fitting stages,Rows kept constant; dimensions preserved,,,
Index Identifiers,Id column provides sequence numbers without predictive signal,Explicitly drop feature block from X,Stops models from memorizing row identity noise instead of actual signals,Feature dimensions reduced by 1,,,
High Cardinality,Text metrics like Neighborhood hold multiple unique strings,Apply leak-safe OneHotEncoder,Translates text parameters safely into binary columns for linear processing,Expands column space post-transform,,,
,,,,,,,
,,,,,,,
FINAL TEST COMPARISON (AMES HOUSING EXECUTION OUTPUTS),,,,,,,
,,,,,,,
Model Configuration,Test MAE,Test RMSE,Test R2 Score,Generalization & Structural Notes,,,
Simple Linear Regression,38341.2,58471.76,0.5543,Low model capacity; relying solely on above-grade square footage underfits the true market pricing variance.,,,
Multiple Linear Regression,18362.37,29445.53,0.887,Relatively BEST configuration. Maximizes signal extraction across all numerical and encoded categorical variables.,,,
Polynomial (Degree 2; Ridge),22652.52,34723.64,0.8428,Captures interaction boundaries between top features (GrLivArea; OverallQual; TotalBsmtSF) but slightly overfits the tail.,,,
Decision Tree (d=8),25902.81,40786.65,0.7831,Non-linear tree cuts allow automated interaction mapping but rigid split limits weaken edge boundary smooth extrapolation.,,,
,,,,,,,
,,,,,,,
OBSERVATION AND INTERPRETATION TABLE,,,,,,,
,,,,,,,
Evidence,Observation,Interpretation,Action / Limitation,,,,
Target Distribution,Heavy right-skewed layout with a long trailing tail towards premium prices,Mean squared error minimization fields focus heavily on high-end luxury property errors,Integrate target log transformations (y -> log(y)) in subsequent optimization passes.,,,,
Actual vs. Predicted,Strong linear alignment up to $300k; prediction variance widens past that point,The model performs cleanly on standard mid-tier assets but faces noise challenges in premium brackets,Flag high-value predictions past $350k for manual human appraisal review overrides.,,,,
Residual Plot,Error dispersion fan expands systematically as home value scales up,Confirms distinct heteroscedasticity across higher asset pricing tiers,Qualify risk statements; expand error tolerance boundaries for luxury listings.,,,,
